ID,title,url,date,topic,keyworkds
1,GraphEval: A Knowledge-Graph Based LLM Hallucination Evaluation Framework,https://arxiv.org/abs/2407.10793,Jul-24,通用,
2,KG-FPQ: Evaluating Factuality Hallucination in LLMs with Knowledge Graph-based False Premise Questions,https://arxiv.org/abs/2407.05868﻿,Jul-24,通用,
3,DefAn: Definitive Answer Dataset for LLMs Hallucination Evaluation,https://arxiv.org/abs/2406.09155,Jun-24,通用,
4,A Survey of Useful LLM Evaluation,https://arxiv.org/abs/2406.00936,Jun-24,通用,
5,Is Your LLM Outdated? Evaluating LLMs at Temporal Generalization,https://arxiv.org/abs/2405.08460,May-24,通用,
6,Unveiling LLM Evaluation Focused on Metrics: Challenges and Solutions,https://arxiv.org/abs/2404.09135,Apr-24,通用,
7,Evaluating LLMs at Detecting Errors in LLM Responses,https://arxiv.org/abs/2404.03602,Apr-24,通用,
8,Exploring and Evaluating Hallucinations in LLM-Powered Code Generation,https://arxiv.org/abs/2404.00971,Apr-24,代码,
9,On Evaluating the Efficiency of Source Code Generated by LLMs,https://arxiv.org/abs/2404.06041,Apr-24,代码,
10,Evaluating the Performance of LLMs on Technical Language Processing tasks,https://arxiv.org/abs/2403.15503,Mar-24,通用,
11,Comprehensive Reassessment of Large-Scale Evaluation Outcomes in LLMs: A Multifaceted Statistical Approach,https://arxiv.org/abs/2403.15250,Mar-24,通用,
12,Chatbot Arena: An Open Platform for Evaluating LLMs by Human Preference,https://arxiv.org/abs/2403.04132,Mar-24,通用,
13,FOFO: A Benchmark to Evaluate LLMs' Format-Following Capability,https://arxiv.org/abs/2402.18667,Mar-24,通用,
14,"Can LLM-Augmented autonomous agents cooperate?, An evaluation of their cooperative capabilities through Melting Pot",https://arxiv.org/abs/2403.11381,Mar-24,通用,
15,Beyond prompt brittleness: Evaluating the reliability and consistency of political worldviews in LLMs,https://arxiv.org/abs/2402.17649,Feb-24,通用,
16,tinyBenchmarks: evaluating LLMs with fewer examples,https://arxiv.org/abs/2402.14992,Feb-24,通用,
17,GenCeption: Evaluate Multimodal LLMs with Unlabeled Unimodal Data,https://arxiv.org/abs/2402.14973,Feb-24,通用,
18,Copilot Evaluation Harness: Evaluating LLM-Guided Software Programming,https://arxiv.org/abs/2402.14261,Feb-24,通用,
19,TofuEval: Evaluating Hallucinations of LLMs on Topic-Focused Dialogue Summarization,https://arxiv.org/abs/2402.13249,Feb-24,通用,
20,TrustScore: Reference-Free Evaluation of LLM Response Trustworthiness,https://arxiv.org/abs/2402.12545,Feb-24,通用,
21,Benchmark Self-Evolving: A Multi-Agent Framework for Dynamic LLM Evaluation,https://arxiv.org/abs/2402.11443,Feb-24,通用,
